condition,AUC,AUC_ci,DIR,DIR_ci,dTPR,dTPR_ci,dFPR,dFPR_ci
with_protected,0.9916548864247907,0.0003400427132641081,0.2976508532725953,0.006231293991420985,0.2142632625990722,0.01723334426580785,0.1354469008255765,0.008562092511579156
drop_protected_only,0.9916674635842655,0.00033938643696373094,0.29897093738988695,0.006163996958343793,0.210074681777877,0.016641675091463023,0.13263002050959619,0.00814131606122687
drop_proxies_too,0.7176552959904322,0.004480221367564434,0.9855051056537913,0.0038581561377634744,0.511232022072149,0.018928827931735524,0.08856152045216033,0.003961862500109128
gov_engine,0.9916674635842655,0.00033938643696373094,0.9996456046256643,8.560340104727888e-05,0.5860088424852087,0.003484696668058945,0.23900322456701065,0.003079155238319422
