sweep,value,baseline_DIR,gov_DIR,gov_AUC,baseline_DIR_ci,gov_DIR_ci,gov_AUC_ci
proxy_corr,0.4,0.7644166306003772,0.9996298394523768,0.978983593717215,0.007015156135539136,0.0001630272903604325,0.0011103629841113945
proxy_corr,0.8,0.5649930050148679,0.9995765505899881,0.9820130840605039,0.007746068669064058,0.00011247395063893882,0.0010922810643526413
proxy_corr,1.2,0.4041579647524592,0.9996625887875353,0.9868603892191018,0.011088518500240578,0.0001553705334924424,0.000868651762065245
proxy_corr,1.6,0.2913838701982511,0.9997215310034926,0.9915958856003909,0.01019384180678717,0.00015075235391962815,0.0004843093623202744
proxy_corr,2.0,0.2113920984785232,0.9996807213352502,0.9952512668463894,0.009265222619988831,0.00013706479798942408,0.000524254440044175
base_rate,0.15,0.604895530354887,0.9997321781702311,0.9926044093382721,0.00776295485444723,0.00014415329695613484,0.000739969343977392
base_rate,0.25,0.3759963158138495,0.9997454430869166,0.9915683254582991,0.010850910056766156,9.654529420878573e-05,0.0006940794282599566
base_rate,0.35,0.21985317192737758,0.9994706741019961,0.9914409691249121,0.009019883450790418,0.0001518799988901203,0.0008076592290260755
base_rate,0.45,0.12663931926480204,0.9993145527284575,0.9905090802526173,0.008642363394447499,0.00015238858687352538,0.0006921142389175136
